,type,geometry-type,geometry-coordinates-0,geometry-coordinates-1,properties-jaar,properties-klooster_id,properties-orde,properties-regel,properties-orde_en,properties-symbol,properties-idL,properties-ST,properties-KR,properties-TI,properties-TIE
393,Feature,Point,6.041960095,52.34105704,1518,O02,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,O02,tertiarissen,derde regel van Franciscus,"Oene, Tertiarissen","Oene, Tertiaries"
394,Feature,Point,5.183027074,51.57738599,1518,O03,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,O03,tertiarissen,derde regel van Franciscus,"Oisterwijk, Tertiarissen: Catharinenberg","Oisterwijk, Tertiaries: Catharinenberg"
395,Feature,Point,6.325137565,53.21284597,1518,O05,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,O05,norbertinessen,regel van Augustinus,"Oldekerk, Norbertinessen: Cusemar","Oldekerk, Premonstratensian Canonesses: Cusemar"
396,Feature,Point,6.392956296,53.38611649,1518,O06,norbertijnen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_1.svg,O06,norbertijnen,regel van Augustinus,"Kloosterburen, Norbertijnen: Oldeklooster in de Marne","Kloosterburen, Premonstratensians: Oldeklooster in de Marne"
397,Feature,Point,6.42447009,53.3761297,1518,O07,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,O07,norbertinessen,regel van Augustinus,"Kloosterburen, Norbertinessen: Nijenklooster in de Marne","Kloosterburen, Norbertinessen: Nijenklooster in de Marne"
398,Feature,Point,6.927687956,52.31395273,1518,O08,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,O08,tertiarissen,derde regel van Franciscus,"Oldenzaal, Tertiarissen: Agnes","Oldenzaal, Tertiaries: Agnes"
399,Feature,Point,3.493461713,51.32765078,1518,O09,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,O09,begijnen,geen,"Oostburg, Begijnhof","Oostburg, Beguinage"
400,Feature,Point,3.488586268,51.32667977,1518,O10,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,O10,tertiarissen,derde regel van Franciscus,"Oostburg, Tertiarissen","Oostburg, Tertiaries"
401,Feature,Point,5.864483254,51.98925349,1518,O11,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,O11,regulieren van Windesheim,regel van Augustinus,"Oosterbeek, Regulieren: Mariënborn","Oosterbeek, Canons Regular: Mariënborn"
402,Feature,Point,6.846148074,53.34480199,1518,O12,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,O12,norbertinessen,regel van Augustinus,"Oosterwijtwerd, Norbertinessen: Nijenklooster bij den Dam","Oosterwijtwerd, Premonstratensian Canonesses: Nijenklooster bij den Dam"
403,Feature,Point,6.898666369,52.40546967,1518,O14,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,O14,Duitse Orde,regel van de Duitse Orde,"Ootmarsum, Duitse Orde","Ootmarsum, Teutonic Order"
