,type,geometry-type,geometry-coordinates-0,geometry-coordinates-1,properties-jaar,properties-klooster_id,properties-orde,properties-regel,properties-orde_en,properties-symbol,properties-idL,properties-ST,properties-KR,properties-TI,properties-TIE
329,Feature,Point,5.688770905,50.84429642,1518,M07,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M07,tertiarissen,derde regel van Franciscus,"Maastricht, Begijnen: Nieuwenhof","Maastricht, Beguines: Nieuwenhof"
330,Feature,Point,5.693617125,50.850741,1518,M08,augustijner eremieten,regel van Augustinus,r,http://geoplaza.vu.nl/projects/kloosters/svg/rectV_m_1.svg,M08,augustijner eremieten,regel van Augustinus,"Maastricht, Augustijner eremieten: Maria ten Oever","Maastricht, Austin Friars: Maria ten Oever"
331,Feature,Point,5.68971804,50.85008773,1518,M09,dominicanen,regel van Augustinus,d,http://geoplaza.vu.nl/projects/kloosters/svg/diamond_m_1.svg,M09,dominicanen,regel van Augustinus,"Maastricht, Dominicanen","Maastricht, Dominicans"
332,Feature,Point,5.691696635,50.84656737,1518,M10,tertianen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_2.svg,M10,tertianen,derde regel van Franciscus,"Maastricht, Tertianen: Bartholomeüs en Michaël","Maastricht, Male Tertiaries: Bartholomeüs en Michaël"
333,Feature,Point,5.693392042,50.84645516,1518,M11,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,M11,begijnen,geen,"Maastricht, Begijnen: Hondertmarckconvent","Maastricht, Beguines: Hondertmarckconvent"
334,Feature,Point,5.69363995,50.8563524,1518,M15,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,M15,Duitse Orde,regel van de Duitse Orde,"Maastricht, Duitse Orde: Nieuwe Biezen","Maastricht, Teutonic Order: Nieuwe Biezen"
335,Feature,Point,5.683955811,50.84862241,1518,M16,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,M16,kruisheren,regel van Augustinus,"Maastricht, Kruisheren","Maastricht, Croziers"
336,Feature,Point,5.682498353,50.85026707,1518,M17,cellebroeders,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_1.svg,M17,cellebroeders,regel van Augustinus,"Maastricht, Cellebroeders","Maastricht, Alexians"
337,Feature,Point,5.689676705,50.84759214,1518,M18,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M18,tertiarissen,derde regel van Franciscus,"Maastricht, Tertiarissen: Sint-Annadal","Maastricht, Tertiaries: Sint-Annadal"
338,Feature,Point,5.693262147,50.8454196,1518,M19,begijnen,zonder erkende regel,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,M19,begijnen,zonder erkende regel,"Maastricht, Tertiarissen: Catharinadal","Maastricht, Tertiaries: Catharinadal"
339,Feature,Point,5.683979081,50.85021362,1518,M20,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M20,tertiarissen,derde regel van Franciscus,"Maastricht, Tertiarissen: Dal Josaphat","Maastricht, Tertiaries: Dal Josaphat"
340,Feature,Point,6.195555556,53.13638889,1518,M22,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,M22,cisterciënzerinnen,regel van Benedictus,"Marum, Cisterciënzerinnen: Trimunt","Marum, Cistercian Nuns: Trimunt"
341,Feature,Point,5.103413469,52.772515,1518,M23,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M23,tertiarissen,derde regel van Franciscus,"Medemblik, Tertiarissen: Maria","Medemblik, Tertiaries: OLV"
342,Feature,Point,5.105349096,52.77273906,1518,M24,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,M24,tertiarissen,derde regel van Franciscus,"Medemblik, Tertiarissen: Catharina","Medemblik, Tertiaries: Catharina"
343,Feature,Point,5.754876483,50.88373637,1518,M25,benedictijnen,regel van Benedictus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_0.svg,M25,benedictijnen,regel van Benedictus,"Meerssen, Benedictijnen: OLV en H. Sacrament","Meerssen, Benedictines; OLV en H. Sacrament"
344,Feature,Point,5.79830931,50.87024317,1518,M27,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,M27,norbertinessen,regel van Augustinus,"Meerssen, Norbertinessen: Houthem/ Sint-Gerlach","Meerssen, Premonstratensian Canonesses: Houthem/ Sint-Gerlach"
